created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2020-08-27 09:39:30 -03,1,30.80,"71.00

",,,,
2020-08-27 09:39:54 -03,2,31.80,"72.00

",,,,
2020-08-27 09:40:15 -03,3,31.60,"66.00

",,,,
2020-08-27 09:40:35 -03,4,31.70,"66.00

",,,,
2020-08-27 09:41:16 -03,5,32.40,"63.00

",,,,
2020-08-27 09:41:36 -03,6,32.90,"63.00

",,,,
2020-08-27 09:41:57 -03,7,32.90,"62.00

",,,,
2020-08-27 09:42:17 -03,8,32.70,"63.00

",,,,
2020-08-27 09:44:00 -03,9,32.80,"62.00

",,,,
2020-08-27 09:44:41 -03,10,32.80,"63.00

",,,,
2020-08-27 09:45:01 -03,11,32.90,"63.00

",,,,
2020-08-27 09:46:03 -03,12,32.40,"63.00

",,,,
2020-08-27 09:46:24 -03,13,32.40,"62.00

",,,,
2020-08-27 09:47:05 -03,14,32.40,"63.00

",,,,
2020-08-27 09:47:25 -03,15,32.50,"63.00

",,,,
2020-08-27 09:47:46 -03,16,32.50,"63.00

",,,,
2020-08-27 09:48:27 -03,17,32.40,"62.00

",,,,
2020-08-27 09:48:48 -03,18,32.40,"62.00

",,,,
2020-08-27 09:49:08 -03,19,32.40,"63.00

",,,,
2020-08-27 09:49:29 -03,20,32.40,"63.00

",,,,
2020-08-27 09:49:49 -03,21,32.20,"62.00

",,,,
2020-08-27 09:50:10 -03,22,32.10,"62.00

",,,,
2020-08-27 09:51:11 -03,23,31.90,"62.00

",,,,
2020-08-27 09:51:32 -03,24,31.80,"64.00

",,,,
2020-08-27 09:52:13 -03,25,31.90,"62.00

",,,,
2020-08-27 09:52:33 -03,26,31.90,"62.00

",,,,
2020-08-27 09:52:54 -03,27,31.90,"62.00

",,,,
2020-08-27 09:53:15 -03,28,31.90,"63.00

",,,,
2020-08-27 09:53:35 -03,29,32.20,"62.00

",,,,
2020-08-27 09:53:56 -03,30,32.40,"62.00

",,,,
2020-08-27 09:54:16 -03,31,32.40,"63.00

",,,,
2020-08-27 09:54:37 -03,32,32.70,"63.00

",,,,
2020-08-27 09:55:39 -03,33,33.00,"63.00

",,,,
2020-08-27 09:55:59 -03,34,33.00,"63.00

",,,,
2020-08-27 09:56:20 -03,35,32.90,"63.00

",,,,
2020-08-27 09:57:22 -03,36,33.30,"63.00

",,,,
2020-08-27 09:58:03 -03,37,33.30,"62.00

",,,,
2020-08-27 09:58:44 -03,38,33.20,"62.00

",,,,
2020-08-27 09:59:04 -03,39,33.00,"62.00

",,,,
2020-08-27 09:59:25 -03,40,33.00,"63.00

",,,,
2020-08-27 10:00:06 -03,41,32.90,"63.00

",,,,
2020-08-27 10:00:26 -03,42,32.90,"62.00

",,,,
2020-08-27 10:00:47 -03,43,33.10,"62.00

",,,,
2020-08-27 10:01:08 -03,44,33.10,"62.00

",,,,
2020-08-27 10:01:28 -03,45,33.00,"63.00

",,,,
2020-08-27 10:01:49 -03,46,32.90,"62.00

",,,,
2020-08-27 10:02:30 -03,47,32.90,"62.00

",,,,
2020-08-27 10:02:50 -03,48,32.80,"62.00

",,,,
2020-08-27 10:03:11 -03,49,33.00,"62.00

",,,,
2020-08-27 10:03:32 -03,50,33.00,"63.00

",,,,
2020-08-27 10:03:52 -03,51,33.30,"62.00

",,,,
2020-08-27 10:04:13 -03,52,33.40,"62.00

",,,,
2020-08-27 10:04:33 -03,53,33.40,"62.00

",,,,
2020-08-27 10:04:54 -03,54,33.50,"62.00

",,,,
2020-08-27 10:05:15 -03,55,33.60,"62.00

",,,,
2020-08-27 10:05:35 -03,56,33.50,"62.00

",,,,
2020-08-27 10:05:56 -03,57,33.60,"62.00

",,,,
2020-08-27 10:06:16 -03,58,33.90,"62.00

",,,,
2020-08-27 10:06:37 -03,59,34.00,"61.00

",,,,
2020-08-27 10:06:57 -03,60,34.00,"62.00

",,,,
2020-08-27 10:07:18 -03,61,33.90,"62.00

",,,,
2020-08-27 10:07:39 -03,62,34.10,"62.00

",,,,
